added_utc	source	project	src_mtime	sha256	journal_path
2026-07-06T02:58:06Z	claude	-sgl-workspace	2026-06-23T07:36:10Z	ea8735bebc72931ea3ca10526bac0ed014913e218d655a2d801df5f3c63290a6	journal/2026-06/-sgl-workspace__qwen35-gluon-5d.md
2026-07-06T02:58:06Z	claude	-sgl-workspace	2026-06-10T13:59:33Z	1f0573ccbfc586cf75749ab5bfd1d9ff0e1b111a7f8cfa45888254c3c93b83eb	journal/2026-06/-sgl-workspace__codex-version-pin.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-aiter	2026-06-29T10:51:06Z	0c0943d723919a674aa6ade82eacf87f5ace6c6aa3c2b36e597a76b9e7f338b3	journal/2026-06/-sgl-workspace-aiter__gpu-cuda-vs-rocmsmi-index.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-aiter	2026-06-30T13:53:20Z	c6068cd0d419062746c4802f36a2ba3a8db4ce0129995a52a72d72afe1607f94	journal/2026-06/-sgl-workspace-aiter__aiter-4017-opus6401-version-skew.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-aiter	2026-06-27T05:11:43Z	dbec35b136c723457e4f70b611c0b5c2de2f32010235756a35815c13a6427c97	journal/2026-06/-sgl-workspace-aiter__qwen35-moe-gemm-e2e-amdahl.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-aiter	2026-06-28T11:55:24Z	3b49c00ec2a2281b07cf953dd465133e37367cc399d562e133116035d8235304	journal/2026-06/-sgl-workspace-aiter__qwen35-decode-b200-vs-mi355x.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-aiter	2026-07-01T02:10:56Z	c8cffbc0408def45383a7b1440840b7a3dc1f6f9238508329d085031c815d9fa	journal/2026-07/-sgl-workspace-aiter__a16w4-fp4bf16-flydsl-crash.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-aiter	2026-06-27T03:15:39Z	673bb05bdc1f18a399eb659ea9d2f168ba76eaa9a9ca63864bffb0a7ea3ac7ae	journal/2026-06/-sgl-workspace-aiter__unified-attn-decode-perf.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-aiter	2026-06-28T08:20:35Z	6efffac79e438eba711ea24f60b56e44b36fa9b5cac01ba81a85cd479434f7f4	journal/2026-06/-sgl-workspace-aiter__qwen35-moe-decode-roundzero.md
2026-07-06T02:58:06Z	claude	-sgl-workspace-aiter	2026-06-27T02:27:44Z	3655fbb24725958d1f325bface0e2ba5558bd197d330dda97f3f417b2fc80c8e	journal/2026-06/-sgl-workspace-aiter__bench-cwd-shadow-gotcha.md
